"Nazwisko.i.imiona","Nazwa.komitetu","imie","nazwisko"
"Marcin JÓZEFACIUK","KO","Marcin","JÓZEFACIUK"
"Norbert Jakub KACZMARCZYK","PIS","Norbert","KACZMARCZYK"
"Filip Roman KACZYŃSKI","PIS","Filip","KACZYŃSKI"
"Jarosław Aleksander KACZYŃSKI","PIS","Jarosław","KACZYŃSKI"
"Piotr Marek KALETA","PIS","Piotr","KALETA"
"Sebastian Jerzy KALETA","PIS","Sebastian","KALETA"
"Mariusz Piotr KAŁUŻNY","PIS","Mariusz","KAŁUŻNY"
"Mariusz KAMIŃSKI","PIS","Mariusz","KAMIŃSKI"
"Piotr KANDYBA","KO","Piotr","KANDYBA"
"Jan Jakub KANTHAK","PIS","Jan","KANTHAK"
"Fryderyk Sylwester KAPINOS","PIS","Fryderyk","KAPINOS"
"Jacek Krzysztof KARNOWSKI","KO","Jacek","KARNOWSKI"
"Iwona KAROLEWSKA","KO","Iwona","KAROLEWSKA"
"Rafał Marcin KASPRZYK","Trzecia Droga","Rafał","KASPRZYK"
"Henryk KIEPURA","Trzecia Droga","Henryk","KIEPURA"
"Marcin Piotr KIERWIŃSKI","KO","Marcin","KIERWIŃSKI"
"Katarzyna Renata KIERZEK-KOPERSKA","KO","Katarzyna","KIERZEK-KOPERSKA"
"Dariusz KLIMCZAK","Trzecia Droga","Dariusz","KLIMCZAK"
"Joanna Grażyna KLUZIK-ROSTKOWSKA","KO","Joanna","KLUZIK-ROSTKOWSKA"
"Agnieszka Maria KŁOPOTEK","Trzecia Droga","Agnieszka","KŁOPOTEK"
"Łukasz Marek KMITA","PIS","Łukasz","KMITA"
"Michał Andrzej KOBOSKO","Trzecia Droga","Michał","KOBOSKO"
"Maria Zofia KOC","PIS","Maria","KOC"
"Ewa Edyta KOŁODZIEJ","KO","Ewa","KOŁODZIEJ"
"Magdalena Małgorzata KOŁODZIEJCZAK","KO","Magdalena","KOŁODZIEJCZAK"
"Michał KOŁODZIEJCZAK","KO","Michał","KOŁODZIEJCZAK"
"Rafał Paweł KOMAREWICZ","Trzecia Droga","Rafał","KOMAREWICZ"
"Maciej KONIECZNY","Lewica","Maciej","KONIECZNY"
"Zbigniew Marek KONWIŃSKI","KO","Zbigniew","KONWIŃSKI"
"Władysław Marcin KOSINIAK-KAMYSZ","Trzecia Droga","Władysław","KOSINIAK-KAMYSZ"
"Tomasz Tadeusz KOSTUŚ","KO","Tomasz","KOSTUŚ"
"Andrzej Tomasz KOSZTOWNIAK","PIS","Andrzej","KOSZTOWNIAK"
"Katarzyna Agata KOTULA","Lewica","Katarzyna","KOTULA"
"Paweł Robert KOWAL","KO","Paweł","KOWAL"
"Henryk KOWALCZYK","PIS","Henryk","KOWALCZYK"
"Janusz Marcin KOWALSKI","PIS","Janusz","KOWALSKI"
"Bartosz Józef KOWNACKI","PIS","Bartosz","KOWNACKI"
"Iwona Maria KOZŁOWSKA","KO","Iwona","KOZŁOWSKA"
"Stefan KRAJEWSKI","Trzecia Droga","Stefan","KRAJEWSKI"
"Wiesław KRAJEWSKI","PIS","Wiesław","KRAJEWSKI"
"Leonard Seweryn KRASULSKI","PIS","Leonard","KRASULSKI"
"Iwona Małgorzata KRAWCZYK","KO","Iwona","KRAWCZYK"
"Michał Mateusz KRAWCZYK","KO","Michał","KRAWCZYK"
"Robert KROPIWNICKI","KO","Robert","KROPIWNICKI"
"Piotr Marek KRÓL","PIS","Piotr","KRÓL"
"Wojciech Piotr KRÓL","KO","Wojciech","KRÓL"
"Anna Maria KRUPKA","PIS","Anna","KRUPKA"
"Andrzej Michał KRYJ","PIS","Andrzej","KRYJ"
"Mariusz Tomasz KRYSTIAN","PIS","Mariusz","KRYSTIAN"
"Marek Grzegorz KRZĄKAŁA","KO","Marek","KRZĄKAŁA"
"Adam KRZEMIŃSKI","KO","Adam","KRZEMIŃSKI"
"Henryka Krystyna KRZYWONOS-STRYCHARSKA","KO","Henryka","KRZYWONOS-STRYCHARSKA"
"Krzysztof Jan KUBÓW","PIS","Krzysztof","KUBÓW"
"Anita Agnieszka KUCHARSKA-DZIEDZIC","Lewica","Anita","KUCHARSKA-DZIEDZIC"
"Marek Tadeusz KUCHCIŃSKI","PIS","Marek","KUCHCIŃSKI"
"Paweł Piotr KUKIZ","PIS","Paweł","KUKIZ"
"Marcin Robert KULASEK","Lewica","Marcin","KULASEK"
"Maria Stanisława KUROWSKA","PIS","Maria","KUROWSKA"
"Władysław Michał KUROWSKI","PIS","Władysław","KUROWSKI"
"Zbigniew Krzysztof KUŹMIUK","PIS","Zbigniew","KUŹMIUK"
"Anna KWIECIEŃ","PIS","Anna","KWIECIEŃ"
"Piotr Michał LACHOWICZ","KO","Piotr","LACHOWICZ"
"Stanisław Józef LAMCZYK","KO","Stanisław","LAMCZYK"
"Maciej Grzegorz LASEK","KO","Maciej","LASEK"
"Gabriela Teresa LENARTOWICZ","KO","Gabriela","LENARTOWICZ"
"Ewa Maria LENIART","PIS","Ewa","LENIART"
"Aleksandra Maria LEO","Trzecia Droga","Aleksandra","LEO"
"Izabela Dorota LESZCZYNA","KO","Izabela","LESZCZYNA"
"Joanna Katarzyna LICHOCKA","PIS","Joanna","LICHOCKA"
"Krzysztof Bogdan LIPIEC","PIS","Krzysztof","LIPIEC"
"Łukasz Karol LITEWKA","Lewica","Łukasz","LITEWKA"
"Grzegorz Andrzej LOREK","PIS","Grzegorz","LOREK"
"Radosław LUBCZYK","Trzecia Droga","Radosław","LUBCZYK"
"Katarzyna Anna LUBNAUER","KO","Katarzyna","LUBNAUER"
"Adam Sławomir LUBOŃSKI","Trzecia Droga","Adam","LUBOŃSKI"
"Artur Jarosław ŁĄCKI","KO","Artur","ŁĄCKI"
"Alicja ŁEPKOWSKA-GOŁAŚ","KO","Alicja","ŁEPKOWSKA-GOŁAŚ"
"Dorota Ewa ŁOBODA","KO","Dorota","ŁOBODA"
"Krystian Marek ŁUCZAK","KO","Krystian","ŁUCZAK"
"Sebastian ŁUKASZEWICZ","PIS","Sebastian","ŁUKASZEWICZ"
"Marzena Anna MACHAŁEK","PIS","Marzena","MACHAŁEK"
"Antoni MACIEREWICZ","PIS","Antoni","MACIEREWICZ"
"Marlena Magdalena MALĄG","PIS","Marlena","MALĄG"
"Ewa Danuta MALIK","PIS","Ewa","MALIK"
"Mirosław Wojciech MALISZEWSKI","Trzecia Droga","Mirosław","MALISZEWSKI"
"Maciej MAŁECKI","PIS","Maciej","MAŁECKI"
"Arkadiusz MARCHEWKA","KO","Arkadiusz","MARCHEWKA"
"Jagna Kinga MARCZUŁAJTIS-WALCZAK","KO","Jagna","MARCZUŁAJTIS-WALCZAK"
"Dorota MAREK","KO","Dorota","MAREK"
"Dariusz Piotr MATECKI","PIS","Dariusz","MATECKI"
"Jerzy Marian MATERNA","PIS","Jerzy","MATERNA"
"Grzegorz MATUSIAK","PIS","Grzegorz","MATUSIAK"
"Katarzyna Irena MATUSIK-LIPIEC","KO","Katarzyna","MATUSIK-LIPIEC"
"Marek MATUSZEWSKI","PIS","Marek","MATUSZEWSKI"
"Paulina MATYSIAK","Lewica","Paulina","MATYSIAK"
"Łukasz MEJZA","PIS","Łukasz","MEJZA"
"Sławomir Jerzy MENTZEN","Konfederacja","Sławomir","MENTZEN"
"Anna Maria MILCZANOWSKA","PIS","Anna","MILCZANOWSKA"
"Daniel George MILEWSKI","PIS","Daniel","MILEWSKI"
"Rajmund Tadeusz MILLER","KO","Rajmund","MILLER"
"Aleksander Jan MISZALSKI","KO","Aleksander","MISZALSKI"
"Mateusz Jakub MORAWIECKI","PIS","Mateusz","MORAWIECKI"
"Jan MOSIŃSKI","PIS","Jan","MOSIŃSKI"
"Michał MOSKAL","PIS","Michał","MOSKAL"
"Czesław MROCZEK","KO","Czesław","MROCZEK"
"Aleksander Mikołaj MRÓWCZYŃSKI","PIS","Aleksander","MRÓWCZYŃSKI"
"Izabela Katarzyna MRZYGŁOCKA","KO","Izabela","MRZYGŁOCKA"
"Joanna MUCHA","Trzecia Droga","Joanna","MUCHA"
"Arkadiusz MULARCZYK","PIS","Arkadiusz","MULARCZYK"
"Krzysztof MULAWA","Konfederacja","Krzysztof","MULAWA"
"Piotr Józef MÜLLER","PIS","Piotr","MÜLLER"
"Arkadiusz MYRCHA","KO","Arkadiusz","MYRCHA"
"Grzegorz Bernard NAPIERALSKI","KO","Grzegorz","NAPIERALSKI"
"Dorota NIEDZIELA","KO","Dorota","NIEDZIELA"
"Jacek NIEDŹWIEDZKI","KO","Jacek","NIEDŹWIEDZKI"
"Małgorzata Barbara NIEMCZYK","KO","Małgorzata","NIEMCZYK"
"Jolanta Magdalena NIEZGODZKA","KO","Jolanta","NIEZGODZKA"
"Sławomir Witold NITRAS","KO","Sławomir","NITRAS"
"Barbara Anna NOWACKA","KO","Barbara","NOWACKA"
"Maja Ewa NOWAK","Trzecia Droga","Maja","NOWAK"
"Tomasz Piotr NOWAK","KO","Tomasz","NOWAK"
"Wanda Hanna NOWICKA","Lewica","Wanda","NOWICKA"
"Urszula Teresa NOWOGÓRSKA","Trzecia Droga","Urszula","NOWOGÓRSKA"
"Mirosława NYKIEL","KO","Mirosława","NYKIEL"
"Marcin Michał OCIEPA","PIS","Marcin","OCIEPA"
"Marzena OKŁA-DREWNOWICZ","KO","Marzena","OKŁA-DREWNOWICZ"
"Barbara OKUŁA","Trzecia Droga","Barbara","OKUŁA"
"Barbara Anna OLIWIECKA","Trzecia Droga","Barbara","OLIWIECKA"
"Dorota Zofia OLKO","Lewica","Dorota","OLKO"
"Paweł Bartosz OLSZEWSKI","KO","Paweł","OLSZEWSKI"
"Mirosław Adam ORLIŃSKI","Trzecia Droga","Mirosław","ORLIŃSKI"
"Łukasz Tomasz OSMALAK","Trzecia Droga","Łukasz","OSMALAK"
"Katarzyna OSOS","KO","Katarzyna","OSOS"
"Jacek Piotr OSUCH","PIS","Jacek","OSUCH"
"Jacek Dawid OZDOBA","PIS","Jacek","OZDOBA"
"Teresa PAMUŁA","PIS","Teresa","PAMUŁA"
"Paweł PAPKE","KO","Paweł","PAPKE"
"Urszula Stefania PASŁAWSKA","Trzecia Droga","Urszula","PASŁAWSKA"
"Krzysztof Michał PASZYK","Trzecia Droga","Krzysztof","PASZYK"
"Karolina Monika PAWLICZAK","KO","Karolina","PAWLICZAK"
"Bartłomiej Artur PEJO","Konfederacja","Bartłomiej","PEJO"
"Ryszard Jerzy PETRU","Trzecia Droga","Ryszard","PETRU"
"Małgorzata Anna PĘPEK","KO","Małgorzata","PĘPEK"
"Bolesław Grzegorz PIECHA","PIS","Bolesław","PIECHA"
"Grzegorz PIECHOWIAK","PIS","Grzegorz","PIECHOWIAK"
"Anna Maria PIECZARKA","PIS","Anna","PIECZARKA"
"Katarzyna Maria PIEKARSKA","KO","Katarzyna","PIEKARSKA"
"Norbert Jerzy PIETRYKOWSKI","Trzecia Droga","Norbert","PIETRYKOWSKI"
"Lucjan Marek PIETRZCZYK","KO","Lucjan","PIETRZCZYK"
"Dariusz PIONTKOWSKI","PIS","Dariusz","PIONTKOWSKI"
"Kazimierz Florian PLOCKE","KO","Kazimierz","PLOCKE"
"Grzegorz Adam PŁACZEK","Konfederacja","Grzegorz","PŁACZEK"
"Kacper Maciej PŁAŻYŃSKI","PIS","Kacper","PŁAŻYŃSKI"
"Szymon Marek POGODA","PIS","Szymon","POGODA"
"Jerzy Jan POLACZEK","PIS","Jerzy","POLACZEK"
"Elżbieta Anna POLAK","KO","Elżbieta","POLAK"
"Piotr Stanisław POLAK","PIS","Piotr","POLAK"
"Agnieszka Dominika POMASKA","KO","Agnieszka","POMASKA"
"Marcin Bartosz PORZUCEK","PIS","Marcin","PORZUCEK"
"Jacek PROTAS","KO","Jacek","PROTAS"
"Marcin Paweł PRZYDACZ","PIS","Marcin","PRZYDACZ"
"Grzegorz Paweł PUDA","PIS","Grzegorz","PUDA"
"Michał PYRZYK","Trzecia Droga","Michał","PYRZYK"
"Renata Urszula RAK","KO","Renata","RAK"
"Ireneusz Jacek RAŚ","Trzecia Droga","Ireneusz","RAŚ"
"Zbigniew Włodzimierz RAU","PIS","Zbigniew","RAU"
"Marcin ROMANOWSKI","PIS","Marcin","ROMANOWSKI"
"Bartosz ROMOWICZ","Trzecia Droga","Bartosz","ROMOWICZ"
"Monika Anna ROSA","KO","Monika","ROSA"
"Wiesław Marian RÓŻYŃSKI","Trzecia Droga","Wiesław","RÓŻYŃSKI"
"Urszula Beata RUSECKA","PIS","Urszula","RUSECKA"
"Grzegorz Stanisław RUSIECKI","KO","Grzegorz","RUSIECKI"
"Jakub Adam RUTNICKI","KO","Jakub","RUTNICKI"
"Paweł Piotr RYCHLIK","PIS","Paweł","RYCHLIK"
"Marek Zdzisław RZĄSA","KO","Marek","RZĄSA"
"Jarosław Michał RZEPA","Trzecia Droga","Jarosław","RZEPA"
"Jarosław SACHAJKO","PIS","Jarosław","SACHAJKO"
"Paweł SAŁEK","PIS","Paweł","SAŁEK"
"Wojciech Paweł SAŁUGA","KO","Wojciech","SAŁUGA"
"Tadeusz SAMBORSKI","Trzecia Droga","Tadeusz","SAMBORSKI"
"Jacek Robert SASIN","PIS","Jacek","SASIN"
"Marek Wacław SAWICKI","Trzecia Droga","Marek","SAWICKI"
"Ewa Katarzyna SCHÄDLER","Trzecia Droga","Ewa","SCHÄDLER"
"Joanna Izabela SCHEURING-WIELGUS","Lewica","Joanna","SCHEURING-WIELGUS"
"Anna Katarzyna SCHMIDT","PIS","Anna","SCHMIDT"
"Łukasz Paweł SCHREIBER","PIS","Łukasz","SCHREIBER"
"Jarosław Daniel SELLIN","PIS","Jarosław","SELLIN"
"Olga Ewa SEMENIUK-PATKOWSKA","PIS","Olga","SEMENIUK-PATKOWSKA"
"Edward SIARKA","PIS","Edward","SIARKA"
"Krystyna Mieczysława SIBIŃSKA","KO","Krystyna","SIBIŃSKA"
"Czesław Adam SIEKIERSKI","Trzecia Droga","Czesław","SIEKIERSKI"
"Rafał SIEMASZKO","KO","Rafał","SIEMASZKO"
"Tomasz SIEMONIAK","KO","Tomasz","SIEMONIAK"
"Bartłomiej Henryk SIENKIEWICZ","KO","Bartłomiej","SIENKIEWICZ"
"Arkadiusz SIKORA","Lewica","Arkadiusz","SIKORA"
"Włodzimierz Bogdan SKALIK","Konfederacja","Włodzimierz","SKALIK"
"Marcin Seweryn SKONIECZKA","Trzecia Droga","Marcin","SKONIECZKA"
"Krystyna SKOWROŃSKA","KO","Krystyna","SKOWROŃSKA"
"Sławomir SKWAREK","PIS","Sławomir","SKWAREK"
"Waldemar Jan SŁUGOCKI","KO","Waldemar","SŁUGOCKI"
"Weronika Anna SMARDUCH","KO","Weronika","SMARDUCH"
